Data,Ruota,1,2,3,4,5
1939/01/07,BA,58,22,47,49,69
1939/01/14,BA,18,77,33,62,19
1939/01/21,BA,68,65,41,28,67
1939/01/28,BA,76,55,48,85,71
1939/02/04,BA,70,2,20,85,75
1939/02/11,BA,82,81,16,52,77
1939/02/18,BA,51,65,6,29,81
1939/02/25,BA,3,54,79,45,59
1939/03/04,BA,28,23,35,62,88
1939/03/11,BA,35,14,76,53,84
1939/03/18,BA,27,59,7,13,48
1939/03/25,BA,88,1,19,11,36
1939/04/01,BA,5,69,14,86,37
1939/04/08,BA,37,82,31,78,84
1939/04/15,BA,39,20,32,50,72
1939/04/22,BA,29,72,42,38,16
1939/04/29,BA,56,70,39,88,58
1939/05/06,BA,36,13,28,84,20
1939/05/13,BA,34,20,47,56,78
1939/05/20,BA,17,46,21,38,79
1939/05/27,BA,21,82,53,52,76
1939/06/03,BA,69,87,54,17,23
1939/06/10,BA,64,37,51,58,88
1939/06/17,BA,13,68,87,79,69
1939/06/24,BA,89,63,71,32,34
1939/07/01,BA,47,18,74,63,52
1939/07/08,BA,23,46,2,59,1
1939/07/15,BA,27,60,89,80,10
1939/07/22,BA,29,71,13,42,77
1939/07/29,BA,23,54,89,80,73
1939/08/05,BA,18,34,55,9,24
1939/08/12,BA,72,26,17,5,42
1939/08/19,BA,83,9,63,90,47
1939/08/26,BA,67,59,58,51,6
1939/09/02,BA,34,15,17,3,51
1939/09/09,BA,33,65,63,1,10
1939/09/16,BA,37,33,85,83,12
1939/09/23,BA,27,8,35,54,29
1939/09/30,BA,42,37,60,71,28
1939/10/07,BA,28,49,75,68,19
1939/10/14,BA,41,79,64,52,75
1939/10/21,BA,33,35,69,15,80
1939/10/28,BA,9,21,37,73,68
1939/11/04,BA,17,69,44,72,79
1939/11/11,BA,54,33,74,52,14
1939/11/18,BA,25,37,14,57,78
1939/11/25,BA,61,19,75,2,90
1939/12/02,BA,57,49,34,84,63
1939/12/09,BA,79,18,72,26,30
1939/12/16,BA,59,26,63,35,89
1939/12/23,BA,57,8,66,74,27
1939/12/30,BA,87,21,49,52,39
1940/01/06,BA,30,42,62,9,8
1940/01/13,BA,52,59,29,20,31
1940/01/20,BA,47,54,38,62,58
1940/01/27,BA,46,60,23,44,40
1940/02/03,BA,32,16,7,30,78
1940/02/10,BA,69,50,24,65,1
1940/02/17,BA,50,65,70,34,22
1940/02/24,BA,69,22,9,7,34
1940/03/02,BA,61,70,81,83,41
1940/03/09,BA,71,82,13,90,54
1940/03/16,BA,32,3,6,84,89
1940/03/23,BA,28,29,31,89,17
1940/03/30,BA,46,20,81,74,10
1940/04/06,BA,16,20,58,9,53
1940/04/13,BA,64,33,18,59,65
1940/04/20,BA,18,53,14,57,51
1940/04/27,BA,45,51,74,66,44
1940/05/04,BA,33,11,15,53,46
1940/05/11,BA,60,71,88,40,46
1940/05/18,BA,85,66,26,8,90
1940/05/25,BA,22,3,30,78,14
1940/06/01,BA,43,47,61,74,13
1940/06/08,BA,85,76,26,41,73
1940/06/15,BA,51,24,26,49,60
1940/06/22,BA,20,16,83,4,22
1940/06/29,BA,24,76,22,85,13
1940/07/06,BA,88,8,40,76,63
1940/07/13,BA,15,76,70,32,49
1940/07/20,BA,43,54,90,27,89
1940/07/27,BA,42,38,10,66,78
1940/08/03,BA,9,80,69,34,87
1940/08/10,BA,51,17,11,2,53
1940/08/17,BA,1,35,61,26,21
1940/08/24,BA,38,36,53,13,44
1940/08/31,BA,76,61,81,40,62
1940/09/07,BA,8,58,12,44,87
1940/09/14,BA,25,1,8,16,20
1940/09/21,BA,75,35,80,67,68
1940/09/28,BA,34,37,62,44,79
1940/10/05,BA,21,76,58,57,7
1940/10/12,BA,45,31,49,60,53
1940/10/19,BA,69,80,5,50,34
1940/10/26,BA,32,11,76,24,84
1940/11/02,BA,23,74,42,27,46
1940/11/09,BA,71,35,28,83,23
1940/11/16,BA,68,25,28,9,20
1940/11/23,BA,83,85,48,8,63
1940/11/30,BA,85,20,45,43,49
1940/12/07,BA,25,54,62,67,31
1940/12/14,BA,7,31,34,24,6
1940/12/21,BA,78,61,31,83,33
1940/12/28,BA,87,62,84,86,34
1941/01/04,BA,44,10,73,41,69
1941/01/11,BA,3,39,84,36,30
1941/01/18,BA,53,11,81,51,27
1941/01/25,BA,47,45,29,57,81
1941/02/01,BA,76,52,63,84,81
1941/02/08,BA,74,56,88,75,67
1941/02/15,BA,35,73,11,8,1
1941/02/22,BA,79,78,45,85,80
1941/03/01,BA,53,58,41,28,63
1941/03/08,BA,69,46,90,86,3
1941/03/15,BA,80,87,43,54,66
1941/03/22,BA,77,60,76,52,88
1941/03/29,BA,36,25,49,58,83
1941/04/05,BA,60,43,9,41,37
1941/04/12,BA,73,21,5,67,15
1941/04/19,BA,33,70,47,51,50
1941/04/26,BA,89,28,86,36,2
1941/05/03,BA,79,60,25,59,76
1941/05/10,BA,19,17,27,74,8
1941/05/17,BA,29,64,10,33,53
1941/05/24,BA,50,17,65,59,70
1941/05/31,BA,65,84,81,5,56
1941/06/07,BA,33,55,68,40,83
1941/06/14,BA,24,31,3,78,19
1941/06/21,BA,30,20,40,89,12
1941/06/28,BA,5,61,62,3,63
1941/07/05,BA,77,63,41,76,59
1941/07/12,BA,87,56,4,50,26
1941/07/19,BA,46,28,30,31,18
1941/07/26,BA,17,86,63,22,26
1941/08/02,BA,23,9,10,55,22
1941/08/09,BA,31,4,33,70,30
1941/08/16,BA,85,40,18,50,31
1941/08/23,BA,5,24,64,59,56
1941/08/30,BA,5,80,44,77,32
1941/09/06,BA,54,35,1,28,36
1941/09/13,BA,49,56,31,87,79
1941/09/20,BA,46,63,40,30,36
1941/09/27,BA,28,33,22,2,29
1941/10/04,BA,29,22,11,47,43
1941/10/11,BA,32,19,37,50,60
1941/10/18,BA,57,42,69,8,68
1941/10/25,BA,55,19,54,60,27
1941/11/01,BA,39,64,53,12,4
1941/11/08,BA,26,55,62,79,42
1941/11/15,BA,89,29,77,12,6
1941/11/22,BA,72,63,30,50,81
1941/11/29,BA,58,32,90,17,28
1941/12/06,BA,24,39,53,23,49
1941/12/13,BA,65,59,80,54,6
1941/12/20,BA,84,20,14,24,9
1941/12/27,BA,27,42,53,30,35
1942/01/03,BA,83,76,73,84,12
1942/01/10,BA,18,11,39,5,67
1942/01/17,BA,61,47,5,84,66
1942/01/24,BA,35,46,89,17,21
1942/01/31,BA,8,58,19,68,24
1942/02/07,BA,50,5,41,63,38
1942/02/14,BA,54,15,81,74,53
1942/02/21,BA,26,76,13,37,72
1942/02/28,BA,20,60,40,28,15
1942/03/07,BA,74,50,80,25,69
1942/03/14,BA,24,56,83,35,80
1942/03/21,BA,79,7,20,42,57
1942/03/28,BA,41,78,6,32,51
1942/04/04,BA,29,49,61,24,32
